year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
2014,USA,CAN,ALL,2.42E+11,1.10%
2013,USA,CAN,ALL,2.31E+11,1.00%
2015,USA,CAN,ALL,2.19E+11,0.98%
2012,USA,CAN,ALL,2.19E+11,0.97%
2011,USA,CAN,ALL,2.13E+11,0.95%
2016,USA,CAN,ALL,2.07E+11,0.92%
2008,USA,CAN,ALL,2.06E+11,0.91%
2007,USA,CAN,ALL,1.94E+11,0.86%
2010,USA,CAN,ALL,1.89E+11,0.84%
2006,USA,CAN,ALL,1.87E+11,0.83%
2005,USA,CAN,ALL,1.73E+11,0.77%
2004,USA,CAN,ALL,1.57E+11,0.70%
2009,USA,CAN,ALL,1.56E+11,0.69%
2000,USA,CAN,ALL,1.50E+11,0.67%
2017,USA,CAN,ALL,1.50E+11,0.67%
2003,USA,CAN,ALL,1.41E+11,0.63%
2001,USA,CAN,ALL,1.37E+11,0.61%
2002,USA,CAN,ALL,1.36E+11,0.60%
1999,USA,CAN,ALL,1.01E+11,0.45%
1998,USA,CAN,ALL,96186088100,0.43%
1997,USA,CAN,ALL,92903017114,0.41%
